Day,UID,Condition,I am satisfied with my current level of physical activity.,I am a physically active person.,I am committed to my physical activity goal.,How hopeful are you about your physical health today?,How was your mood today?,I am satisfied with my current level of physical activity._num,I am a physically active person._num,I am committed to my physical activity goal._num,How hopeful are you about your physical health today?_num,How was your mood today?_num
22,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
23,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Pleasant,4.0,4.0,5.0,3.0,4.0
25,P49,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
26,P49,C,Agree,Agree,Strongly agree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,4.0,4.0,5.0,3.0,3.0
27,P49,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
28,P49,C,Agree,Agree,Strongly agree,Hopeful,Pleasant,4.0,4.0,5.0,4.0,4.0
1,P29,T,Disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,2.0,3.0,3.0,4.0,4.0
2,P29,T,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Neither pleasant nor unpleasant,2.0,3.0,3.0,3.0,3.0
3,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
5,P29,T,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,2.0,3.0,3.0,3.0,4.0
6,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
7,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
8,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
9,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
10,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
11,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither hopeful nor hopeless,Pleasant,3.0,3.0,3.0,3.0,4.0
12,P29,T,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Hopeful,Pleasant,3.0,3.0,3.0,4.0,4.0
