uid,group,day,hk_stepcount,hk_activeenergyburned,hk_appleexercisetime,hk_distancewalkingrunning,hk_workout_count,week
P33,control,12,6285.0,703.8719999999996,15.0,2.964446755,0,2
P33,control,13,13566.0,1376.8839999999964,83.0,6.701233277676593,1,2
P33,control,14,24405.0,1894.4894123634265,62.0,11.68379786861549,0,2
P33,control,15,10652.0,1080.2995876365735,47.0,5.256995542074549,0,3
P33,control,16,8353.0,931.1489999999976,47.0,4.218110282462942,1,3
P33,control,17,10839.0,1032.9749999999983,60.0,5.679704804104786,2,3
P33,control,18,8524.0,846.1850000000005,26.0,4.084725277567646,0,3
P33,control,19,5601.211894077127,22.954,1.0,2.498487798394655,0,3
P33,control,20,15320.080717892044,1255.49,37.0,7.493832028167096,0,3
P33,control,21,15172.720180503507,1438.7206264618442,56.0,7.252436185404848,0,3
P33,control,22,9565.085521001249,1026.499373538158,55.0,4.847924681721089,1,4
P33,control,23,5170.662874311389,953.4829999999988,44.0,2.4721374103485103,1,4
P33,control,24,11658.284632419214,952.4870000000018,41.0,5.6933034378879945,1,4
P33,control,25,10493.0,1105.1300000000003,34.0,4.915717671145752,0,4
P33,control,26,11805.701194190337,1135.3819999999962,43.0,5.718657196371899,1,4
P33,control,27,11297.09420313143,1075.046000000001,40.0,5.481582888487731,0,4
P33,control,28,14061.0,1061.6410000000003,35.0,6.721898607257391,0,4
P33,control,29,16337.0,1799.225999999999,119.0,7.9672353490268675,0,5
P33,control,30,14630.0,1084.3840000000005,34.0,6.8577654765004965,0,5
P33,control,31,13687.0,1282.5619999999994,66.0,6.649449384802315,0,5
P33,control,32,15335.0,1327.2430000000013,58.0,7.368655300261244,0,5
P33,control,33,9735.0,997.5090000000008,47.0,4.762308263331012,0,5
P33,control,34,16735.08668439211,1398.5430000000051,78.0,7.931395077917763,1,5
P33,control,35,13393.93108759022,1067.6980000000008,53.0,6.503362418482432,0,5
P34,treatment,-89,5101.0,337.8630000000004,25.0,2.2070970574432,0,-12
P34,treatment,-88,4308.715116303501,341.8350000000003,24.0,1.8931798569716367,0,-12
P34,treatment,-87,924.0,4.847,2.0,0.3562756004933343,0,-12
P34,treatment,-86,328.0,,,0.12795897,0,-12
P34,treatment,-85,2635.0,,,1.0228829372104078,0,-12
P34,treatment,-84,2086.0,,,0.7929690561511454,0,-12
P34,treatment,-83,2041.0,,,0.7406254242474336,0,-11
P34,treatment,-82,980.0,,,0.3760928384960876,0,-11
P34,treatment,-81,1244.0,,,0.4940301096484158,0,-11
P34,treatment,-80,528.0,,,0.2033157537088414,0,-11
P34,treatment,-79,514.0,,,0.1970368050584622,0,-11
P34,treatment,-78,5224.223028131983,404.9830000000003,28.0,2.290646919306631,0,-11
P34,treatment,-77,2804.0,87.24800000000005,8.0,1.165052222174994,0,-11
P34,treatment,-76,999.0,1.9810000000000003,1.0,0.3899539191125146,0,-10
P34,treatment,-75,1299.0,,,0.4713550862138939,0,-10
P34,treatment,-74,7020.0,555.1490000000016,58.0,3.1088246657058183,1,-10
P34,treatment,-73,6045.317476963836,863.4359999999865,120.0,2.6608314443880303,1,-10
P34,treatment,-72,4751.58404,330.49399999999974,8.0,2.1054201920930096,0,-10
P34,treatment,-71,2861.0,1.608,1.0,1.0888549810878425,0,-10
P34,treatment,-70,4225.0,,,1.5083848898385726,0,-10
P34,treatment,-69,5109.712306113308,485.7520000000002,11.0,2.272284198499779,0,-9
